# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Database class in src/data/db/ (db.upsert_story).
LocationId|Name|RegionId|Notes|LoreFragment
LO2970e5c351|Aldengrove|RG48803cad0f||
LO2ec34aa79a|Aldevyr|RG48803cad0f|A village in Aria.|
LOd703dd530f|Amphitheatre|RG615666dae9||
LO5b584f1cf2|Ampitheatre|RG615666dae9|In the city proper, a space for ceremonies, public events and proclamations.|
LO69f49a790f|Ankomeido|RGb2d75101c8|Home to the misfits and malcontents of Misteria.|ankomeido
LOefca8faa45|Arcturos|RG48803cad0f|Where Oscilio was embedded.|
LOc62fd77db1|Arena Barracks|||
LOd648afbeae|Ashvahan|RG8e23bdd8e8|Capital of Volcor.|
LObdb304e6a8|Askraweld|||
LOfa989f1937|Astral Bridge|RG63dcf97f5c||astral-bridge
LO2929060c7c|Audra|RG615666dae9|Village.|
LO7b240bbfa5|Aui's Scale Strongholds|RG6cd31a74b6|Locations where things are concealed from the public.|
LO8b6cae13a8|Aui's Scales Strongholds|RG6cd31a74b6||
LO1f9c8b9fc3|Auric Keep|RG63dcf97f5c||auric-keep
LO97909f36a7|Barthimont Manor|RG615666dae9|In the Northern Realms.|
LO87681a5bd3|Barton's House|RGb2d75101c8|Information Dealer.|
LO96c837e382|Beacon|RG58cc047b16||
LO15e6c83885|Blackjack's Tavern|RGb2d75101c8|Bounty Hunting Hub, owned by Greenbird. Neutral Ground.|blackjacks-mercenary-company
LOa1cd57e9f8|Blackrock Quarries|RG8e23bdd8e8|In the north of Volcor.|blackrock-quarries
LO0200dd6e55|Blackwater Strait|RG05a2281d01||
LO276095b70d|Blasmophet's Domain|RG8bc7b8bb1d|Separate plane.|
LOc1aabf78b3|Blockhead Territory|RGb2d75101c8|An entire sector of The Maw.|
LO2b201a9f45|Boulderhead Island|RG48803cad0f||
LO397719ab1b|Butcher's Bin|||
LO8d83d0e4e1|Candlehold|RG48803cad0f||candlehold
LOda1b258f3f|Candlelight Clearing|RG48803cad0f|Where the Rosetta of old had once gathered to garden, share poetry, and sing.|
LO36dbfffbde|Centennial Consumables|RG58cc047b16||
LO6d19021c71|Ceremionial Chamber|RG615666dae9|In the city proper, location of the Awakening ceremony.|
LO353641e7c2|Ceremonial Chamber|RG615666dae9||
LOd26c5ab761|Chamber of the Dragon|RG8e23bdd8e8||
LO2d66c5a09e|Champion's Quarters|||
LO9a721d463e|Champions Rest|||
LO877e9835fd|Charred Range||Mountains separating Solana and Volcor.|
LO2065536709|Chrome Caverns||The desert's edge.|
LO396fd35986|Cliffhold|RG615666dae9||
LOfff7ddb659|Cogwerx Conglomerate|RG58cc047b16||cogwerx-conglomerate
LOdd6a837ede|Coppertown|RG58cc047b16||coppertown
LO8f65462ba1|Coralysi|RG05a2281d01|Home of the merfolk. Floating gardens.|
LO64a0ac5002|Courtyard|RG8bc7b8bb1d|Enter here when using invitation|
LOef7f674aa8|Dagger Docks|RG05a2281d01|Shipwrights|dagger-docks
LOa0d4e5904f|Death's Knell||The Ocean.|
LO45061949a1|Demonastery|RG8bc7b8bb1d|Mansion with specific rooms per resident; it moves, accessible by invitation.|
LO4770f66959|Deshvahan|RG8e23bdd8e8|A city in Volcor.|deshvahan
LO9654f0ebc9|Dragon's Peak|RG8e23bdd8e8||dragons-peak
LO27bf9fba37|Dreadfall Reach|RG05a2281d01||
LO8dd5855dce|East Rise|RG58cc047b16|The majority of this Metrix sector is devoted to parks and entertainment complexes.|east-rise
LO53426708e5|Eighth Precinct|RG58cc047b16|Enforcer station, down the street from the Iron Hall.|
LO4f97dd2f4c|Enion|RG48803cad0f|Armory of the ancients and training ground of champions.|enion
LOe569bd90f6|Entrance Hall|RG8bc7b8bb1d|Location of the portal to íArathael, home of Whisper the stained glass window.|
LO12dba4389a|Fardreyas|RG615666dae9|Village.|
LO7f6e1027f8|Fedhari|RG05a2281d01|Former Dhani city, now home to the merfolk and named Coralysi|
LO525f327292|Forward Camps|RG8ee35f0ddd|Home to merchants, traders, adventurers, and mercenaries.|
LO87891fd0a7|Fractal Scar|RG48803cad0f|Site of the Battle of Fractal Scar.|
LObcdb0c4232|Freakshow Territory|RGb2d75101c8|Deep in the Pits, composed of abandoned mineshafts.|
LO0d94f9c243|Gigadril Elevator|RG58cc047b16||
LO9d43802f8d|Gigadrill Elevator|RG58cc047b16||gigadrill-elevator
LO830472649b|Golden Chariot|RG615666dae9|Inn in the city proper, owned by Minerva.|
LOb24857e7b9|Golden Port|RG05a2281d01|Built in the ruins of the Dhani Empire.|
LO2ffb2b23a5|Gorge of a Thousand Winds|RG6cd31a74b6||
LO7d18d6f4e8|Gougemoor|RG8ee35f0ddd|The edge of the Savage Lands.|
LOea1284ddf8|Grayhollow|RG05a2281d01|Kuraghan safe port.|
LO862426db03|Graystone|RG05a2281d01||
LO1ce4d9d317|Graystone Penitentiary|RG05a2281d01||
LOabf9993793|Griefers Reef|RG05a2281d01||griefers-reef
LO11560f9123|Grinning Boar Cantina|||
LO02cb0478c3|Hand of Sol|RG615666dae9|Solana's order of knights, who defend the city from outside threats.|the-hand-of-sol
LO8d65cf6e58|Hazeltown|RG615666dae9|Village.|
LO0b72b96328|Highloft Inn|RG48803cad0f|Inn on Skybreaker.|
LO0c5547da71|Ikaru|RG6cd31a74b6|One of the prestigious houses of Misteria; the House of Blossoms.|ikaru
