# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_equipment_csv.py
EquipmentGameId|CardName|CanonicalEquipmentId|ClassIds|TalentIds|Cost|Defense|AbilityText|Types
EGcd874ef944|Barkbone Strapping|CE2c089f6298|CL48a111b581|||1|**Instant** - Destroy Barkbone Strapping: Roll a 6 die. Gain {r} equal to half the number rolled, rounded down.  **Battleworn**|Brute, Equipment, Chest
EG9c5e721a6f|Braveforge Bracers|CEf21a190b70|CLf4c16fcffe|||2|**Once per turn Action** - {r}: Your next weapon attack this turn gains +1{p}. Activate this ability only if a weapon you control has hit this turn. **Go again**  **Battleworn**|Warrior, Equipment, Arms
EGd3307700ff|Breaking Scales|CE709a68a003|CL04a4fce796|||1|**Attack Reaction** - Destroy Breaking Scales: Target attack action card with **combo** gains +1{p}.  **Battleworn**|Ninja, Equipment, Arms
EG4e21138e6f|Fyendal's Spring Tunic|CEd3f86c7f6f|CL46a808cfd5|||1|At the start of your turn, if this has fewer than 3 energy counters, you may put an energy counter on it.  **Instant** - Remove 3 energy counters from this: Gain {r}  **Blade Break**|Generic, Equipment, Chest
EG5880ee5895|Goliath Gauntlet|CE99fa7a8830|CL46a808cfd5|||0|**Action** - Destroy this: The next attack action card with cost 2 or more you play this turn gets +2{p}. **Go again**|Generic, Equipment, Arms
EG94f13c4dfa|Heartened Cross Strap|CEe7d6d29334|CL46a808cfd5|||0|**Action** - Destroy this: The next attack action card you play this turn costs {r}{r} less to play. **Go again**|Generic, Equipment, Chest
EGe4fa56ba31|Helm of Isen's Peak|CE8cc51950f7|CL8060afda51|||1|**Action** - {r}, destroy this: Your hero gains +1{i} this turn.  **Battleworn**|Guardian, Equipment, Head
EG6ef5c3787c|Hope Merchant's Hood|CEca81603e04|CL46a808cfd5|||0|**Instant** - Destroy this: Shuffle any number of cards from your hand into your deck, then draw that many cards.|Generic, Equipment, Head
EGc6b1c07251|Ironrot Gauntlet|CEd6809f2c19|CL46a808cfd5|||1|**Blade Break**|Generic, Equipment, Arms
EGfdb4702a7c|Ironrot Helm|CE574d03dafc|CL46a808cfd5|||1|**Blade Break**|Generic, Equipment, Head
EG1edd5f8a16|Ironrot Legs|CE62b8eedb0a|CL46a808cfd5|||1|**Blade Break**|Generic, Equipment, Legs
EG52272957e3|Ironrot Plate|CE7242e72fa0|CL46a808cfd5|||1|**Blade Break**|Generic, Equipment, Chest
EG6d7644984b|Mask of Momentum|CE4c69ea6ec6|CL04a4fce796|||2|**Once per Turn Effect** - When an attack action card you control is the third or higher chain link in a row to hit, draw a card.  **Blade Break**|Ninja, Equipment, Head
EG45126a294a|Refraction Bolters|CEeab05a7d0b|CLf4c16fcffe|||1|When a weapon you control hits, you may destroy Refraction Bolters. If you do, the attack gains **go again**.  **Battleworn**|Warrior, Equipment, Legs
