# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Story class in src/data/story.py (Story.link_npc / link_monster / link_fauna / link_flora / link_food_drink / link_location — link_location upserts regions.csv when region_name is set).
LocationId|Name|RegionId|Notes|LoreFragment
LO2970e5c351|Aldengrove|RG48803cad0f||
LO5b584f1cf2|Ampitheatre|RG615666dae9|In the city proper, a space for ceremonies, public events and proclamations|
LO69f49a790f|Ankomeido|RGb2d75101c8|Home to the misfits and malcontents of Misteria|ankomeido
LOefca8faa45|Arcturos|RG48803cad0f|Where Oscilio was embedded|
LOc62fd77db1|Arena Barracks|RG23a26a3e3c||
LOd648afbeae|Ashvahan|RG8e23bdd8e8|Capital of Volcor|
LObdb304e6a8|Askraweld|RGb23a6a8439||
LO2929060c7c|Audra|RG615666dae9|Village|
LO7b240bbfa5|Aui's Scale Strongholds|RG6cd31a74b6|Locations where things are concealed from the public|
LO97909f36a7|Barthimont Manor|RG615666dae9|In the Northern Realms|
LO27ec2873bb|Barton's House|RGb2d75101c8|Information Dealer|
LO96c837e382|Beacon|RG58cc047b16||
LO73236fd6b9|Blackjack's Tavern|RGb2d75101c8|"Bounty Hunting Hub, Owned by Greenbird, ""Neutral Ground"""|
LOa1cd57e9f8|Blackrock Quarries|RG8e23bdd8e8|In the north of Volcor|blackrock-quarries
LO0200dd6e55|Blackwater Strait|RG05a2281d01||
LO276095b70d|Blasmophet's Domain|RG8bc7b8bb1d|Separate plane|
LOc1aabf78b3|Blockhead Territory|RGb2d75101c8|An entire sector of The Maw|
LO2b201a9f45|Boulderhead Island|RG48803cad0f||
LO8da24ef60f|Bravo's Legendarium|RG48803cad0f|Part of the Everfest Carnival|
LO397719ab1b|Butcher's Bin|RG23a26a3e3c||
LO8d83d0e4e1|Candlehold|RG48803cad0f||candlehold
LOda1b258f3f|Candlelight Clearing|RG48803cad0f|Where the Rosetta of old had once gathered to garden, share poetry, and sing|
LO36dbfffbde|Centennial Consumables|RG58cc047b16||
LO6d19021c71|Ceremionial Chamber|RG615666dae9|In the city proper, location of the Awakening ceremony|
LOd26c5ab761|Chamber of the Dragon|RG8e23bdd8e8||
LO2d66c5a09e|Champion's Quarters|RG23a26a3e3c||
LO9a721d463e|Champions Rest|RG23a26a3e3c||
LO877e9835fd|Charred Range|RGb23a6a8439|Mountains separating Solana and Volcor|
LO2065536709|Chrome Caverns|RGb23a6a8439|The desert's edge|
LO396fd35986|Cliffhold|RG615666dae9||
LOfff7ddb659|Cogwerx Conglomerate|RG58cc047b16||cogwerx-conglomerate
LOdd6a837ede|Coppertown|RG58cc047b16||coppertown
LO8f65462ba1|Coralysi|RG05a2281d01|Home of the merfolk. Floating gardens.|
LO64a0ac5002|Courtyard|RG8bc7b8bb1d|Enter here when using invitation|
LOef7f674aa8|Dagger Docks|RG05a2281d01|Shipwrights|dagger-docks
LOa0d4e5904f|Death's Knell|RGb23a6a8439|The Ocean|
LO45061949a1|Demonastery|RG8bc7b8bb1d|Mansion, residents have specifc rooms, it moves, accessible by invitation|
LO4770f66959|Deshvahan|RG8e23bdd8e8||deshvahan
LO9654f0ebc9|Dragon's Peak|RG8e23bdd8e8||dragons-peak
LO27bf9fba37|Dreadfall Reach|RG05a2281d01||
LO8dd5855dce|East Rise|RG58cc047b16||east-rise
LO53426708e5|Eighth Precinct|RG58cc047b16|Enforcer station, down the street from the Iron Hall|
LO4f97dd2f4c|Enion|RG48803cad0f|Armory of the ancients and training ground of champions|enion
LOe569bd90f6|Entrance Hall|RG8bc7b8bb1d|Location of the portal to íArathael, Whisper the stained glass window|
LO12dba4389a|Fardreyas|RG615666dae9|Village|
LO7f6e1027f8|Fedhari|RG05a2281d01|Former Dhani city, now home to the merfolk and named Coralysi|
LO525f327292|Forward Camps|RG8ee35f0ddd|Merchants, traders, adventures, mercenaries|
LO89cd71d45e|Fractal Scar|RG48803cad0f|Battle of Fractal Scar|
LObcdb0c4232|Freakshow Territory|RGb2d75101c8|Deep in the Pits, composed of abandoned mineshafts|
LO0d94f9c243|Gigadril Elevator|RG58cc047b16||
LO9d43802f8d|Gigadrill Elevator|RG58cc047b16||gigadrill-elevator
LOb9ec2a467e|Golden Chariot|RG615666dae9|In the city proper, inn, owned by [Minerva](../other-characters/minerva-themis.md)|
LOb24857e7b9|Golden Port|RG05a2281d01|Built in the ruins of the Dhani Empire|
LO2ffb2b23a5|Gorge of a Thousand Winds|RG6cd31a74b6|Same as Mugenshi Gorge?|
LO7d18d6f4e8|Gougemoor|RG8ee35f0ddd|The edge of the Savage Lands|
LOea1284ddf8|Grayhollow|RG05a2281d01|Kuraghan safe port|
LO862426db03|Graystone|RG05a2281d01||
LO1ce4d9d317|Graystone Penitentiary|RG05a2281d01||
LOabf9993793|Griefers Reef|RG05a2281d01||griefers-reef
LO11560f9123|Grinning Boar Cantina|RG23a26a3e3c||
LO8d65cf6e58|Hazeltown|RG615666dae9|Village|
LO0b72b96328|Highloft Inn|RG48803cad0f|Inn on Skybreaker|
LO140bb9daef|Imperial Furnace|RG8e23bdd8e8||
LO36ae1c4fdf|Imperial Palace|RG8e23bdd8e8||
LO4621469c21|Iron Assembly|RG58cc047b16||iron-assembly
LO8593d6a47a|Iron Hall|RG58cc047b16|The seat of power for Metrix's municipal government|
LO93e1e11709|Ironsong Forge|RG615666dae9|In the city proper|
LOe0baf4e5bf|Isen's Peak|RG48803cad0f||
LOefe3b7b779|Isenloft|RG48803cad0f||
LO90f44534b8|Jawbreaker Territory|RGb2d75101c8|No official territory with the exception of some houses on the water|
LO53e78f2bca|Kirohime Gate|RG0895f8daa1||
LO4ad5c53ed6|Kraken|RG05a2281d01|Boat|
LOaa30fa5d01|Kraken's Barrel|RG05a2281d01|Tavern|krakens-barrel
LO81711f1965|Kyloria's Lair|RGb2d75101c8|Deep beneath the Pits|
LO6e38122fa3|Lake Frigid|RG48803cad0f|Channel Lake Frigid|
LOe84340b4cf|Larinkmorth|RG48803cad0f||larinkmorth
LO1e3b7fbf46|Library of Illumination|RG615666dae9|In the city proper, a public library, cared for by the members of the Light of Sol|
LOfe0bcee0f1|Lowlake|RG58cc047b16||
LO0f86dbf091|Lunar Temple|RG6cd31a74b6||
LO4c321edabb|Midtown Markets|RG58cc047b16||midtown-markets
LOab5854ee60|Might n' Mead|RG48803cad0f|Where Valda grew up and works|
LOe8d0d82e24|Mistcloak Gully|RG6cd31a74b6||
LOc03e9c4edb|Mistcloak Lake|RG6cd31a74b6||
LO285b16d77c|Mojire|RGb23a6a8439||
LO09eeed8abb|Morlock Hill|RG615666dae9|Battle of Morlock Hill|
LOe70b25b69f|Mount Heroic|RG48803cad0f|Channel Mount Heroic|
LOf854390156|Mt. Isen|RG48803cad0f||
LO99af29f787|Mt. Volcor|RG8e23bdd8e8||
LOa3baccb57a|Mugenshi Gorge|RG6cd31a74b6||
LOff23e6de89|Mugenshi Village|RG6cd31a74b6|Hidden, lead by Katsu, in the Mugenshi Gorge|
LO603ad6f1ca|Nasu-ka Teahouse|RG6cd31a74b6|Nuu's Teahouse by Mistcloak Lake|
LOadcae50c4e|Numbskull Territory|RGb2d75101c8|Cave network lined with skulls, resembles a catacomb|
LO982156832b|Octogria|RG615666dae9|The gardens of|
LOa713aacc91|Old Metrix|RG58cc047b16||
LO7e1371a24c|Overseer Crichton's Mansion|RGb2d75101c8|Situated in The Maw|
LOd413ac0d9c|Piper's Pier|RG05a2281d01||
LO1796af117a|Pirate's Perch|RG05a2281d01|Filled with jungle|
LOd57891a167|Pit 3|RG58cc047b16||
LO9dc6c4e008|Plumvex Pipes factory|RG58cc047b16||
LObe049a1d08|Port Conniver|RG05a2281d01||
LO1c93512ec9|Red Desert|RG8e23bdd8e8||
LO05602195bb|Rhinar's Territory|RG8ee35f0ddd|Void of other brutes|
LO9da000af9a|Rosario Hills|RG58cc047b16|Orphanage parent company|
LO1406097472|Rosario Orphanage|RG58cc047b16||
LO22dce34a3d|Rotwood|RG48803cad0f|Area next to Candlehold|
LO493803f93f|Rust Belt|RG58cc047b16||
